code_insee,nom_commune,departement,departement_code,search_key
59001,Abancourt,Nord,59,abancourt
59002,Abscon,Nord,59,abscon
59003,Aibes,Nord,59,aibes
59004,Aix-en-Pévèle,Nord,59,aix en pevele
59005,Allennes-les-Marais,Nord,59,allennes les marais
59006,L'Orée de Mormal,Nord,59,l oree de mormal
59007,Anhiers,Nord,59,anhiers
59008,Aniche,Nord,59,aniche
59009,Villeneuve-d'Ascq,Nord,59,villeneuve d ascq
59010,Anneux,Nord,59,anneux
59011,Annœullin,Nord,59,annullin
59012,Anor,Nord,59,anor
59013,Anstaing,Nord,59,anstaing
59014,Anzin,Nord,59,anzin
59015,Arleux,Nord,59,arleux
59016,Armbouts-Cappel,Nord,59,armbouts cappel
59017,Armentières,Nord,59,armentieres
59018,Arnèke,Nord,59,arneke
59019,Artres,Nord,59,artres
59021,Assevent,Nord,59,assevent
59022,Attiches,Nord,59,attiches
59023,Aubencheul-au-Bac,Nord,59,aubencheul au bac
59024,Auberchicourt,Nord,59,auberchicourt
59025,Aubers,Nord,59,aubers
59026,Aubigny-au-Bac,Nord,59,aubigny au bac
59027,Aubry-du-Hainaut,Nord,59,aubry du hainaut
59028,Auby,Nord,59,auby
59029,Auchy-lez-Orchies,Nord,59,auchy lez orchies
59031,Audignies,Nord,59,audignies
59032,Aulnoy-lez-Valenciennes,Nord,59,aulnoy lez valenciennes
59033,Aulnoye-Aymeries,Nord,59,aulnoye aymeries
59034,Avelin,Nord,59,avelin
59035,Avesnelles,Nord,59,avesnelles
59036,Avesnes-sur-Helpe,Nord,59,avesnes sur helpe
59037,Avesnes-les-Aubert,Nord,59,avesnes les aubert
59038,Avesnes-le-Sec,Nord,59,avesnes le sec
59039,Awoingt,Nord,59,awoingt
59041,Bachant,Nord,59,bachant
59042,Bachy,Nord,59,bachy
59043,Bailleul,Nord,59,bailleul
59044,Baisieux,Nord,59,baisieux
59045,Baives,Nord,59,baives
59046,Bambecque,Nord,59,bambecque
59047,Banteux,Nord,59,banteux
59048,Bantigny,Nord,59,bantigny
59049,Bantouzelle,Nord,59,bantouzelle
59050,Bas-Lieu,Nord,59,bas lieu
59051,La Bassée,Nord,59,la bassee
59052,Bauvin,Nord,59,bauvin
59053,Bavay,Nord,59,bavay
59054,Bavinchove,Nord,59,bavinchove
59055,Bazuel,Nord,59,bazuel
59056,Beaucamps-Ligny,Nord,59,beaucamps ligny
59057,Beaudignies,Nord,59,beaudignies
59058,Beaufort,Nord,59,beaufort
59059,Beaumont-en-Cambrésis,Nord,59,beaumont en cambresis
59060,Beaurain,Nord,59,beaurain
59061,Beaurepaire-sur-Sambre,Nord,59,beaurepaire sur sambre
59062,Beaurieux,Nord,59,beaurieux
59063,Beauvois-en-Cambrésis,Nord,59,beauvois en cambresis
59064,Bellaing,Nord,59,bellaing
59065,Bellignies,Nord,59,bellignies
59066,Bérelles,Nord,59,berelles
59067,Bergues,Nord,59,bergues
59068,Berlaimont,Nord,59,berlaimont
59069,Bermerain,Nord,59,bermerain
59071,Bersée,Nord,59,bersee
59072,Bersillies,Nord,59,bersillies
59073,Berthen,Nord,59,berthen
59074,Bertry,Nord,59,bertry
59075,Béthencourt,Nord,59,bethencourt
59076,Bettignies,Nord,59,bettignies
59077,Bettrechies,Nord,59,bettrechies
59078,Beugnies,Nord,59,beugnies
59079,Beuvrages,Nord,59,beuvrages
59080,Beuvry-la-Forêt,Nord,59,beuvry la foret
59081,Bévillers,Nord,59,bevillers
59082,Bierne,Nord,59,bierne
59083,Bissezeele,Nord,59,bissezeele
59084,Blaringhem,Nord,59,blaringhem
59085,Blécourt,Nord,59,blecourt
59086,Boeschepe,Nord,59,boeschepe
59087,Boëseghem,Nord,59,boeseghem
59088,Bois-Grenier,Nord,59,bois grenier
59089,Bollezeele,Nord,59,bollezeele
59090,Bondues,Nord,59,bondues
59091,Borre,Nord,59,borre
59092,Bouchain,Nord,59,bouchain
59093,Boulogne-sur-Helpe,Nord,59,boulogne sur helpe
59094,Bourbourg,Nord,59,bourbourg
59096,Bourghelles,Nord,59,bourghelles
59097,Boursies,Nord,59,boursies
59098,Bousbecque,Nord,59,bousbecque
59099,Bousies,Nord,59,bousies
59100,Bousignies,Nord,59,bousignies
59101,Bousignies-sur-Roc,Nord,59,bousignies sur roc
59102,Boussières-en-Cambrésis,Nord,59,boussieres en cambresis
59103,Boussières-sur-Sambre,Nord,59,boussieres sur sambre
59104,Boussois,Nord,59,boussois
59105,Bouvignies,Nord,59,bouvignies
59106,Bouvines,Nord,59,bouvines
59107,Bray-Dunes,Nord,59,bray dunes
59108,Briastre,Nord,59,briastre
59109,Brillon,Nord,59,brillon
59110,Brouckerque,Nord,59,brouckerque
59111,Broxeele,Nord,59,broxeele
59112,Bruay-sur-l'Escaut,Nord,59,bruay sur l escaut
59113,Bruille-lez-Marchiennes,Nord,59,bruille lez marchiennes
59114,Bruille-Saint-Amand,Nord,59,bruille saint amand
59115,Brunémont,Nord,59,brunemont
59116,Bry,Nord,59,bry
59117,Bugnicourt,Nord,59,bugnicourt
59118,Busigny,Nord,59,busigny
59119,Buysscheure,Nord,59,buysscheure
59120,Caëstre,Nord,59,caestre
59121,Cagnoncles,Nord,59,cagnoncles
59122,Cambrai,Nord,59,cambrai
59123,Camphin-en-Carembault,Nord,59,camphin en carembault
59124,Camphin-en-Pévèle,Nord,59,camphin en pevele
59125,Cantaing-sur-Escaut,Nord,59,cantaing sur escaut
59126,Cantin,Nord,59,cantin
59127,Capelle,Nord,59,capelle
59128,Capinghem,Nord,59,capinghem
59129,Cappelle-en-Pévèle,Nord,59,cappelle en pevele
59130,Cappelle-Brouck,Nord,59,cappelle brouck
59131,Cappelle-la-Grande,Nord,59,cappelle la grande
59132,Carnières,Nord,59,carnieres
59133,Carnin,Nord,59,carnin
59134,Cartignies,Nord,59,cartignies
59135,Cassel,Nord,59,cassel
59136,Le Cateau-Cambrésis,Nord,59,le cateau cambresis
59137,Catillon-sur-Sambre,Nord,59,catillon sur sambre
59138,Cattenières,Nord,59,cattenieres
59139,Caudry,Nord,59,caudry
59140,Caullery,Nord,59,caullery
59141,Cauroir,Nord,59,cauroir
59142,Cerfontaine,Nord,59,cerfontaine
59143,La Chapelle-d'Armentières,Nord,59,la chapelle d armentieres
59144,Château-l'Abbaye,Nord,59,chateau l abbaye
59145,Chemy,Nord,59,chemy
59146,Chéreng,Nord,59,chereng
59147,Choisies,Nord,59,choisies
59148,Clairfayts,Nord,59,clairfayts
59149,Clary,Nord,59,clary
59150,Cobrieux,Nord,59,cobrieux
59151,Colleret,Nord,59,colleret
59152,Comines,Nord,59,comines
59153,Condé-sur-l'Escaut,Nord,59,conde sur l escaut
59155,Coudekerque-Branche,Nord,59,coudekerque branche
59156,Courchelettes,Nord,59,courchelettes
59157,Cousolre,Nord,59,cousolre
59158,Coutiches,Nord,59,coutiches
59159,Craywick,Nord,59,craywick
